subject,video_name,start_frame,apex_frame,end_frame,type_idx,au,Converted_Column
sub11,EP13_05f,16,61,111,2,4+9,1
sub11,EP15_01f,56,89,111,2,4,4
sub11,EP15_04f,61,76,96,2,R14,4
sub11,EP18_03f,56,106,131,2,4,4
sub11,EP19_03f,11,94,151,2,4,4
sub12,EP01_02,31,99,106,2,4+10,1
sub12,EP02_05,41,61,140,2,1+2+5+7,3
sub12,EP03_02,26,59,91,2,12,4
sub12,EP03_04,60,129,156,2,6+12,2
sub12,EP04_16,36,56,135,2,1+4+7,1
sub12,EP06_06,36,76,111,2,1+2,3
sub12,EP08_01,46,81,106,2,1+2,3
sub12,EP08_03,76,114,156,2,1+2,3
sub12,EP08_07,111,134,186,2,R12,2
sub12,EP09_02,16,59,101,2,4+7+L2,1
sub12,EP09_06,66,111,111,2,4+7,1
sub12,EP16_02,136,189,226,2,4+5+7+9,1
sub13,EP01_01,76,111,131,2,4,4
sub13,EP01_02,76,101,116,2,14,4
sub13,EP02_02,11,34,68,2,14,4
sub13,EP02_03,26,59,66,2,14,4
sub13,EP03_01,31,86,111,2,12,2
sub13,EP08_01,54,81,106,2,4+5,4
sub13,EP09_10,51,76,126,2,6+12,2
sub13,EP12_01,6,41,61,2,4+5,4
sub14,EP04_04f,11,44,86,2,14,4
sub14,EP09_03,6,29,41,2,14,2
sub14,EP09_04,21,71,106,2,14,2
sub14,EP09_06,11,59,91,2,12,2
sub15,EP03_02,16,49,76,2,L12,2
sub15,EP04_02,21,46,111,2,1+R2+25,3
sub15,EP08_02,21,54,78,2,4+7,1
sub16,EP01_05,66,106,156,2,4+R12,2
sub16,EP01_08,73,94,110,2,17,1
sub16,EP01_09f,51,76,163,2,4+12,4
sub16,EP04_02f,181,269,271,2,R12,2
sub17,EP01_06,81,86,121,2,12,2
sub17,EP01_13,76,134,166,2,2+5,3
sub17,EP01_15,86,101,126,2,12,2
sub17,EP02_01,91,119,136,2,4+6+7,1
sub17,EP02_03,81,109,131,2,4+7,1
sub17,EP02_11,161,181,210,2,4+9+17,1
sub17,EP02_18f,91,134,181,2,17,1
sub17,EP03_02,118,139,161,2,6+7,1
sub17,EP03_09,96,132,161,2,12,2
sub17,EP05_02,25,91,121,2,12,2
sub17,EP05_03,21,56,101,2,12,2
sub17,EP05_03f,11,59,76,2,17,1
sub17,EP05_04,6,39,71,2,17,1
sub17,EP05_09,121,144,196,2,4+17,1
sub17,EP05_10,111,129,151,2,17,1
sub17,EP06_04,71,91,161,2,6+7,1
sub17,EP06_07,216,225,246,2,L12,2
sub17,EP06_08,156,194,231,2,17,1
sub17,EP07_01,21,71,115,2,4+7,1
sub17,EP08_02,21,66,88,2,4+7,1
sub17,EP08_03,51,69,84,2,4,4
sub17,EP10_06,104,121,161,2,17,1
sub17,EP11_01,9,31,53,2,4+7,1
sub17,EP11_02,36,81,121,2,4+7,1
sub17,EP12_03,131,156,184,2,17,1
sub17,EP13_01,146,164,191,2,4,4
sub17,EP13_03,51,79,136,2,4+7,1
sub17,EP13_04,86,104,121,2,4+7,1
sub17,EP13_06,86,109,131,2,4+7,1
sub17,EP13_09,6,46,101,2,L12,2
sub17,EP15_01,81,104,111,2,1,1
sub17,EP15_03,319,338,356,2,1,1
sub17,EP15_04,109,131,185,2,17,1
sub17,EP15_05,21,49,66,2,R14,4
sub17,EP16_01f,8,29,71,2,4+7+L9,1
sub17,EP18_07,36,69,103,2,4+7+9,1
sub18,EP08_01,111,139,147,2,4,4
sub18,EP18_01,66,91,126,2,4,4
sub18,EP19_01,95,121,140,2,4,4
sub19,EP01_01f,121,189,220,2,12,2
sub19,EP01_02f,36,61,127,2,12,2
sub19,EP02_01,91,119,151,2,L1+L2,3
sub19,EP06_01f,146,174,201,2,L1+L2,3
sub19,EP06_02f,211,264,291,2,6+12,4
sub19,EP08_02,76,119,155,2,12,2
sub19,EP11_01f,61,81,116,2,14,4
sub19,EP11_04f,76,96,131,2,L2+14,3
sub19,EP13_01,71,104,156,2,6,1
sub19,EP15_03f,51,81,101,2,12,4
sub19,EP16_01,86,109,136,2,9,1
sub19,EP16_02,61,79,101,2,9,1
sub19,EP19_01,66,86,101,2,4,4
sub19,EP19_02,106,129,151,2,L1+L2,3
sub19,EP19_03,61,91,116,2,L1+L2,3
sub19,EP19_04,46,69,86,2,L1,1
sub20,EP01_03,76,101,126,2,L4,1
sub20,EP03_02,45,74,111,2,14,4
sub20,EP06_03,31,49,61,2,4,1
sub20,EP07_04,96,116,151,2,4,4
sub20,EP10_02,131,166,216,2,12,4
sub20,EP12_01,41,104,106,2,14,4
sub20,EP13_02,71,109,121,2,4,4
sub20,EP15_03f,86,129,181,2,4,4
sub20,EP16_01,71,111,111,2,4,4
sub20,EP16_04,81,106,121,2,14,4
sub20,EP18_03,48,90,126,2,4,4
sub21,EP01_07,6,21,36,2,4,4
sub21,EP05_02,111,141,206,2,12+15+17,1
sub22,EP01_12,50,119,146,2,15+17,1
sub22,EP13_08,151,216,256,2,15+17,1
sub23,EP02_01,36,86,130,2,12+17,2
sub23,EP03_14f,51,91,111,2,4+R10,1
sub23,EP04_03f,16,91,115,2,12+15,1
sub23,EP05_24f,106,141,171,2,4+15+17,1
sub23,EP05_25f,51,86,131,2,4+10,1
sub23,EP07_01,36,64,96,2,4,4
sub23,EP12_02f,46,84,130,2,4+10,1
sub23,EP12_03,86,129,161,2,4+10,1
sub23,EP13_03,36,56,91,2,4,4
sub23,EP13_04,21,41,86,2,17,1
sub23,EP13_07f,56,64,126,2,4,4
sub23,EP17_01,81,114,146,2,4,4
sub24,EP01_08,33,69,131,2,L7+L10,1
sub24,EP02_02f,71,94,106,2,4+7,1
sub24,EP07_01,24,41,66,2,1,3
sub24,EP07_04f,4,24,41,2,1+2,3
sub24,EP08_02,121,156,181,2,4,4
sub24,EP10_01f,131,149,154,2,4,4
sub24,EP10_02,101,121,136,2,4,4
sub24,EP10_03,334,356,376,2,1+2,3
sub24,EP12_01,81,99,121,2,L6,4
sub24,EP18_03,53,76,88,2,L1+L2,3
sub25,EP03_01,56,81,116,2,24,4
sub25,EP03_02,51,101,134,2,24,4
sub25,EP09_02,76,101,111,2,4+7,1
sub25,EP10_01,101,129,176,2,4+7,1
sub25,EP10_10,61,91,158,2,R1+R2,3
sub25,EP12_01,131,151,186,2,R2,3
sub25,EP18_04f,76,116,116,2,4+7,1
sub26,EP03_10,116,149,201,2,R12,2
sub26,EP07_28,31,51,71,2,14,4
sub26,EP07_37,92,119,190,2,14+24,4
sub26,EP08_04,31,79,89,2,4+7+12,4
sub26,EP09_04,31,56,91,2,4+7,1
sub26,EP09_09,46,76,101,2,4,1
sub26,EP13_01,4,29,61,2,14+24,4
sub26,EP13_02,32,54,116,2,R12,2
sub26,EP13_11,20,59,101,2,4,1
sub26,EP15_01,42,61,81,2,1+4,1
sub26,EP16_01,26,54,76,2,4,1
sub26,EP18_44,11,36,71,2,4,1
sub26,EP18_46,31,46,101,2,16,4
sub26,EP18_47,6,49,86,2,4,1
sub26,EP18_49,16,54,80,2,4,1
sub26,EP18_50,78,99,161,2,4,1
sub26,EP18_51,21,64,81,2,4+16,1
